sender,receiver,value
CARLOS,THAIS,91435
ANDREA,TANIA,32143
MARLENE,VITOR,70789
MATEUS,GABRIEL,94852
GUILHERME,ISABELA,17066
LUIZA,ANDREIA,31850
SABRINA,GUILHERME,48962
MONICA,EDNA,99677
RONALDO,DEBORA,26722
CLAUDIA,PATRICIA,16680
JORGE,GUILHERME,83848
ANTONIO,LUCIANO,41112
TEREZINHA,VERA,49575
SILVIA,AMANDA,68462
DAVI,ALESSANDRO,448
ANDREA,ROSANGELA,15970
FLAVIA,ANGELA,80029
DAVID,ANTONIO,13996
LUIZ,CRISTIANO,78793
MARTA,JULIA,84927
JULIANA,MIGUEL,82866
LETICIA,MARCELO,1591
FABIANO,ROSANA,71122
FABIO,DAIANE,11322
REGINA,GUILHERME,65584
WILLIAN,PAULA,78138
SONIA,ALEX,20372
ALEXANDRE,GUILHERME,84368
EDUARDO,LUZIA,28317
ROGERIO,REGINA,77801
ANDREIA,ROBERTO,77276
LUANA,MARCO,31928
MIGUEL,EVERTON,42605
ANDRESSA,ALICE,26208
FLAVIO,ROGERIO,61592
LAURA,ROBERTO,89743
ADRIANO,RODRIGO,2066
TATIANE,VINICIUS,50091
MARIANA,RAIMUNDA,70557
PAULO,ANA,3774
BENEDITO,JOAQUIM,8534
FLAVIA,VINICIUS,92426
GABRIEL,JAIR,98190
RAQUEL,WILSON,23105
TATIANE,BRUNO,67142
LUANA,MAURO,11869
BRUNO,HELENA,12105
VALERIA,BENEDITO,19496
FELIPE,ANDRE,75658
EMERSON,JULIA,43946
DAVID,JOANA,9745
IGOR,NATALIA,97579
JULIANA,LUIS,30294
PRISCILA,DANIELA,3062
PAULO,LAURA,84862
CAROLINA,CLAUDIA,47261
JOAQUIM,CRISTINA,30951
SOLANGE,ANDREIA,51683
LUAN,FABIANO,40219
MARLENE,MARCELO,92818
MARLI,MARCIA,47330
RICARDO,SILVANA,71984
BARBARA,LUIZ,35154
MARCO,HELENA,59573
DANIELA,ALEXANDRE,32525
GILBERTO,VERA,2716
MANUEL,FELIPE,21901
JEAN,FATIMA,3118
MARCIO,TATIANE,42908
JEAN,THAIS,6072
VIVIANE,ROBSON,79230
LETICIA,MARTA,64974
CAROLINA,MAURO,91944
PAULO,PAULA,70604
TEREZA,FABIO,97388
DENISE,CELIA,96987
JESSICA,FLAVIA,52776
ELIAS,LEONARDO,32647
SARA,RAQUEL,8707
DIEGO,ISABELA,29940
THIAGO,TAIS,61847
ROSANGELA,FERNANDO,96164
MARIO,CARLOS,74304
VITOR,RENATO,50278
DIEGO,JONAS,37201
BENEDITO,LEONARDO,8211
FERNANDO,PAULA,69778
GILMAR,PATRICIA,83227
NATALIA,ANDRE,30169
JORGE,CAROLINA,30861
GILSON,SARA,73386
CICERO,JONAS,25488
MARTA,SEBASTIAO,62694
FABIANA,DANIEL,3808
JONAS,LEONARDO,69326
WILLIAN,SILVIA,41286
GILBERTO,JAIR,22424
NELSON,IGOR,50808
VITORIA,ROBSON,6295
DANIELE,FLAVIA,996
TAIS,HENRIQUE,80809
CAROLINE,GUILHERME,94075
DAVID,ALICE,686
DANIEL,RAIMUNDO,46967
LUCAS,RONALDO,94167
JEFERSON,JULIA,80687
LEANDRO,RENATO,99104
JEFERSON,DENISE,8682
OSVALDO,SOLANGE,83322
FRANCISCO,BEATRIZ,51510
LARISSA,ANDERSON,21117
PEDRO,LUIZ,63180
RENATO,RENATA,74563
BIANCA,GERALDO,10798
JESSICA,NATALIA,56201
VALDIR,SILVANA,80734
FABRICIO,DEBORA,30007
MARCIO,DAVI,81785
ALEXANDRE,RAQUEL,48526
CLAUDIA,LUIZA,36132
HENRIQUE,VINICIUS,21054
FABIANO,ANDREIA,17190
MARLENE,LUIZA,3478
RODRIGO,GILBERTO,59491
GABRIELA,RAIMUNDA,9624
CAROLINA,JOANA,21172
DAVI,EDSON,55297
ANTONIO,ALAN,94645
FELIPE,MATHEUS,61796
WILLIAN,ROSA,45790
FRANCISCA,MATEUS,32281
EDNA,JOAQUIM,34611
ANTONIO,MONICA,51791
FATIMA,CRISTIANO,16348
ANDRE,SAMUEL,22649
MARCIA,ERICA,51830
MARIO,LEONARDO,5453
EDSON,EMERSON,43503
ROSANA,RICARDO,84441
JAIR,MARIANA,40045
FLAVIA,FERNANDA,60353
ANDRESSA,TANIA,80979
REGINA,ISABELA,89253
VITOR,JONAS,56213
BIANCA,DIEGO,12402
DOUGLAS,ELIANA,86220
RICARDO,LUCIA,51625
VIVIANE,FABIANO,32585
GABRIEL,GERALDO,94408
GILSON,BEATRIZ,33337
REGINA,TEREZINHA,60333
ALAN,LUIZ,14960
JOAQUIM,JOANA,71841
CAIO,TATIANE,57414
ELIANA,PRISCILA,67896
FERNANDO,MATEUS,60513
BEATRIZ,PAULO,55636
LETICIA,FATIMA,2076
ROSA,ISABEL,63304
JOSE,JOAO,80838
FABIO,GILBERTO,55606
MARCELO,DAVI,84640
